"Name","FolderPath","ItemCount","TotalItemSize"
"07. Appointment","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 07. Appointment","10","2.86 MB (2,998,637 bytes)"
"13. Reports","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Feasibility Study 13. Reports","0","0 B (0 bytes)"
"Deal Leisure Centre (Tides), Stages 2-7","Client A-D Client (D) Dover District Council Deal Leisure Centre (Tides), Stages 2-7","0","0 B (0 bytes)"
"Dover Leisure Centre","Client A-D Client (D) Dover District Council Dover Leisure Centre","0","0 B (0 bytes)"
"01. Client","Client A-D Client (D) Dover District Council Dover Leisure Centre 01. Client","952","299.7 MB (314,251,403 bytes)"
"02. Lawyer","Client A-D Client (D) Dover District Council Dover Leisure Centre 02. Lawyer","91","76.14 MB (79,839,875 bytes)"
"03. Email","Client A-D Client (D) Dover District Council Dover Leisure Centre 03. Email","664","489.7 MB (513,438,095 bytes)"
"Stage 2 coorespondence","Client A-D Client (D) Dover District Council Dover Leisure Centre 03. Email Stage 2 coorespondence","17","12.57 MB (13,179,216 bytes)"
"04. Consultants","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants","11","589.9 KB (604,040 bytes)"
"Acoustics","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Acoustics","59","24.89 MB (26,098,773 bytes)"
"Archaeology","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Archaeology","99","36.86 MB (38,648,627 bytes)"
"Architect","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Architect","897","886.6 MB (929,698,766 bytes)"
"BREEAM","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants BREEAM","154","45.1 MB (47,295,441 bytes)"
"Building Control","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Building Control","5","1.501 MB (1,573,425 bytes)"
"Business Planning","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Business Planning","400","248.8 MB (260,905,043 bytes)"
"CDM","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants CDM","22","4.264 MB (4,471,372 bytes)"
"Civil/Structures","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Civil/Structures","221","172.5 MB (180,865,007 bytes)"
"Clip & Climb","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Clip & Climb","5","30.28 MB (31,755,778 bytes)"
"Cost Consultant","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Cost Consultant","408","118 MB (123,749,679 bytes)"
"Appointment","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Cost Consultant Appointment","5","13.47 MB (14,124,540 bytes)"
"CoW","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants CoW","40","69.35 MB (72,718,006 bytes)"
"Ecology","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Ecology","133","50.46 MB (52,909,931 bytes)"
"Fire","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Fire","40","45.57 MB (47,780,072 bytes)"
"Ground Investigation","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Ground Investigation","86","80.41 MB (84,316,179 bytes)"
"Landscape","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Landscape","149","104.4 MB (109,498,449 bytes)"
"MEP Engineer","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants MEP Engineer","180","100.8 MB (105,734,581 bytes)"
"Operator - PfP","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Operator - PfP","15","4.682 MB (4,909,806 bytes)"
"Planning & Transport","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Planning & Transport","413","412.4 MB (432,425,414 bytes)"
"Pool Consultant","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Pool Consultant","54","6.717 MB (7,043,064 bytes)"
"Southern Water","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Southern Water","7","6.345 MB (6,653,174 bytes)"
"Spa Consultant","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Spa Consultant","54","40.9 MB (42,890,182 bytes)"
"Sport England","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Sport England","171","105.8 MB (110,986,636 bytes)"
"Topo","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Topo","17","29.55 MB (30,985,631 bytes)"
"Town Centre Impact Assessment","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Town Centre Impact Assessment","48","45.18 MB (47,370,847 bytes)"
"Utilities","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants Utilities","19","13.13 MB (13,764,751 bytes)"
"UXO","Client A-D Client (D) Dover District Council Dover Leisure Centre 04. Consultants UXO","38","29.97 MB (31,421,421 bytes)"
"05. Employer's Requirements","Client A-D Client (D) Dover District Council Dover Leisure Centre 05. Employer's Requirements","1","696.2 KB (712,898 bytes)"
"06. Contractor","Client A-D Client (D) Dover District Council Dover Leisure Centre 06. Contractor","1","164.5 KB (168,474 bytes)"
"BAM","Client A-D Client (D) Dover District Council Dover Leisure Centre 06. Contractor BAM","340","196.4 MB (205,928,667 bytes)"
"Southern Contractor Framework","Client A-D Client (D) Dover District Council Dover Leisure Centre 06. Contractor Southern Contractor Framework","234","97.84 MB (102,592,481 bytes)"
"07. Appointment","Client A-D Client (D) Dover District Council Dover Leisure Centre 07. Appointment","36","14.23 MB (14,925,878 bytes)"
"08. Finances","Client A-D Client (D) Dover District Council Dover Leisure Centre 08. Finances","19","3.879 MB (4,067,520 bytes)"
"Correspondence - closed out","Client A-D Client (D) Dover District Council Dover Leisure Centre 08. Finances Correspondence - closed out","106","20.18 MB (21,162,643 bytes)"
"Invoices in tracker","Client A-D Client (D) Dover District Council Dover Leisure Centre 08. Finances Invoices in tracker","160","47.55 MB (49,861,485 bytes)"
"09. Meetings","Client A-D Client (D) Dover District Council Dover Leisure Centre 09. Meetings","81","34.46 MB (36,133,034 bytes)"
"10. Stakeholders","Client A-D Client (D) Dover District Council Dover Leisure Centre 10. Stakeholders","0","0 B (0 bytes)"
"11. Contract Instructions","Client A-D Client (D) Dover District Council Dover Leisure Centre 11. Contract Instructions","0","0 B (0 bytes)"
"12. Design","Client A-D Client (D) Dover District Council Dover Leisure Centre 12. Design","15","822.5 KB (842,252 bytes)"
"13. Reports","Client A-D Client (D) Dover District Council Dover Leisure Centre 13. Reports","24","63.65 MB (66,740,282 bytes)"
"14. Photos","Client A-D Client (D) Dover District Council Dover Leisure Centre 14. Photos","1","5.912 MB (6,199,168 bytes)"
"15. Programme","Client A-D Client (D) Dover District Council Dover Leisure Centre 15. Programme","11","2.289 MB (2,400,329 bytes)"
"Dublin City Council","Client A-D Client (D) Dublin City Council","0","0 B (0 bytes)"
"Irishtown Design Team Tender","Client A-D Client (D) Dublin City Council Irishtown Design Team Tender","209","126 MB (132,169,829 bytes)"
"Client A-D - Alliance (Burscough)","Client A-D - Alliance (Burscough)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (Burscough) Email 1","28","29.07 MB (30,482,993 bytes)"
"Client A-D - Alliance (Caerphilly)","Client A-D - Alliance (Caerphilly)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (Caerphilly) Email 1","462","669.5 MB (701,996,207 bytes)"
"Email 2","Client A-D - Alliance (Caerphilly) Email 2","556","955.6 MB (1,001,977,955 bytes)"
"Client A-D - Alliance (Clay Cross)","Client A-D - Alliance (Clay Cross)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (Clay Cross) Email 1","2392","3.702 GB (3,975,117,503 bytes)"
"Email 2","Client A-D - Alliance (Clay Cross) Email 2","1088","1.953 GB (2,096,968,391 bytes)"
"Client A-D - Alliance (Mablethorpe)","Client A-D - Alliance (Mablethorpe)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (Mablethorpe) Email 1","11","23.61 MB (24,760,941 bytes)"
"Client A-D - Alliance (Trowbridge)","Client A-D - Alliance (Trowbridge)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (Trowbridge) Email 1","19","30.56 MB (32,042,239 bytes)"
"Client A-D - Alliance (West Lancs)","Client A-D - Alliance (West Lancs)","0","0 B (0 bytes)"
"Email 1","Client A-D - Alliance (West Lancs) Email 1","1235","2.405 GB (2,581,980,036 bytes)"
"Email 2","Client A-D - Alliance (West Lancs) Email 2","735","1.453 GB (1,560,139,911 bytes)"
"Client E-H","Client E-H","0","0 B (0 bytes)"
"Client (E)","Client E-H Client (E)","0","0 B (0 bytes)"
"Eastbourne Borough Council","Client E-H Client (E) Eastbourne Borough Council","1","142.3 KB (145,674 bytes)"
"Eastbourne, Sovereign Centre","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre","142","153.8 MB (161,255,031 bytes)"
"00 General Admin","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 00 General Admin","2","175.5 KB (179,682 bytes)"
"01 Client","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 01 Client","900","382.7 MB (401,283,407 bytes)"
"For follow up","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 01 Client For follow up","0","0 B (0 bytes)"
"02 Lawyers","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 02 Lawyers","13","4.913 MB (5,151,914 bytes)"
"03 Emails","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 03 Emails","1043","935 MB (980,367,995 bytes)"
"For follow up","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 03 Emails For follow up","0","0 B (0 bytes)"
"04 Consultants","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 04 Consultants","1512","1.212 GB (1,301,848,392 bytes)"
"05 Employer's Requirements","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 05 Employer's Requirements","0","0 B (0 bytes)"
"06 Contractor","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 06 Contractor","55","101.3 MB (106,206,676 bytes)"
"07 Appointment","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 07 Appointment","13","3.808 MB (3,992,849 bytes)"
"08 Finances","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 08 Finances","7","933.1 KB (955,461 bytes)"
"For follow up","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 08 Finances For follow up","0","0 B (0 bytes)"
"09 Meetings","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 09 Meetings","21","9.77 MB (10,244,381 bytes)"
"10 Stakeholders","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 10 Stakeholders","21","1.561 MB (1,636,499 bytes)"
"11 Contract Instructions","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 11 Contract Instructions","0","0 B (0 bytes)"
"12 Design","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 12 Design","8","23.3 MB (24,435,359 bytes)"
"13 Reports","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client E-H Client (E) Eastbourne Borough Council Eastbourne, Sovereign Centre 14 Photos","0","0 B (0 bytes)"
"Essex County Cricket Club","Client E-H Client (E) Essex County Cricket Club","4","4.314 MB (4,524,060 bytes)"
"Client (F)","Client E-H Client (F)","1","162.9 KB (166,779 bytes)"
"Folkestone & Hythe District Council","Client E-H Client (F) Folkestone & Hythe District Council","1","256.9 KB (263,037 bytes)"
"Princes Parade Email 1","Client E-H Client (F) Folkestone & Hythe District Council Princes Parade Email 1","15033","13.87 GB (14,892,838,636 bytes)"
"Princes Parade Email 2","Client E-H Client (F) Folkestone & Hythe District Council Princes Parade Email 2","1229","1.187 GB (1,274,127,171 bytes)"
"Client (G)","Client E-H Client (G)","0","0 B (0 bytes)"
"Great Yarmouth Borough Council","Client E-H Client (G) Great Yarmouth Borough Council","0","0 B (0 bytes)"
"Marina Leisure Centre, Feasibility Study","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study","0","0 B (0 bytes)"
"00 General Admin","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 00 General Admin","0","0 B (0 bytes)"
"01 Client","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 01 Client","0","0 B (0 bytes)"
"02 Lawyers","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 02 Lawyers","0","0 B (0 bytes)"
"03 Emails","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 03 Emails","0","0 B (0 bytes)"
"04 Consultants","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 04 Consultants","67","68.17 MB (71,486,236 bytes)"
"05 Employer's Requirements","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 05 Employer's Requirements","0","0 B (0 bytes)"
"06 Contractor","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 06 Contractor","2","125 KB (127,981 bytes)"
"07 Appointment","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 07 Appointment","11","1.516 MB (1,589,293 bytes)"
"08 Finances","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 08 Finances","0","0 B (0 bytes)"
"09 Meetings","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 09 Meetings","0","0 B (0 bytes)"
"10 Stakeholders","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 10 Stakeholders","0","0 B (0 bytes)"
"11 Contract Instructions","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 11 Contract Instructions","0","0 B (0 bytes)"
"12 Design","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 12 Design","0","0 B (0 bytes)"
"13 Reports","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client E-H Client (G) Great Yarmouth Borough Council Marina Leisure Centre, Feasibility Study 14 Photos","0","0 B (0 bytes)"
"Client (H)","Client E-H Client (H)","0","0 B (0 bytes)"
"Hackney Council","Client E-H Client (H) Hackney Council","0","0 B (0 bytes)"
"Britannia Leisure Centre","Client E-H Client (H) Hackney Council Britannia Leisure Centre","0","7.727 KB (7,912 bytes)"
"00 Emails","Client E-H Client (H) Hackney Council Britannia Leisure Centre 00 Emails","0","0 B (0 bytes)"
"00 General Admin","Client E-H Client (H) Hackney Council Britannia Leisure Centre 00 General Admin","0","0 B (0 bytes)"
"01 Client","Client E-H Client (H) Hackney Council Britannia Leisure Centre 01 Client","0","7.743 KB (7,929 bytes)"
"Britannia Financials","Client E-H Client (H) Hackney Council Britannia Leisure Centre 01 Client Britannia Financials","0","0 B (0 bytes)"
"02 Lawyers","Client E-H Client (H) Hackney Council Britannia Leisure Centre 02 Lawyers","0","0 B (0 bytes)"
"04 Consultants","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants","0","0 B (0 bytes)"
"Accessibility","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Accessibility","0","0 B (0 bytes)"
"Acoustic","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Acoustic","0","0 B (0 bytes)"
"AIr Quality","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants AIr Quality","0","0 B (0 bytes)"
"Arboricultural","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Arboricultural","0","0 B (0 bytes)"
"Archaeology","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Archaeology","0","0 B (0 bytes)"
"Architect","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Architect","0","7.875 KB (8,064 bytes)"
"BIM","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants BIM","0","0 B (0 bytes)"
"BREEAM","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants BREEAM","0","0 B (0 bytes)"
"Building Control","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Building Control","0","0 B (0 bytes)"
"Business plan","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Business plan","0","0 B (0 bytes)"
"Construction Advisor","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Construction Advisor","0","0 B (0 bytes)"
"Cost Consultant","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Cost Consultant","0","0 B (0 bytes)"
"Ecology","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Ecology","0","0 B (0 bytes)"
"Engineer","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Engineer","0","7.875 KB (8,064 bytes)"
"Facade Engineer","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Facade Engineer","0","0 B (0 bytes)"
"Fire","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Fire","0","0 B (0 bytes)"
"GHG emissions","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants GHG emissions","0","0 B (0 bytes)"
"Ground Investigation","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Ground Investigation","0","0 B (0 bytes)"
"Landscape Architect","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Landscape Architect","0","0 B (0 bytes)"
"MEP Engineer","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants MEP Engineer","0","0 B (0 bytes)"
"Pitch","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Pitch","0","0 B (0 bytes)"
"Planning Consultant","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Planning Consultant","350","188.9 MB (198,107,251 bytes)"
"Pool Contractor","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Pool Contractor","2","176 KB (180,188 bytes)"
"Principal Design (CDMC)","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Principal Design (CDMC)","11","4.631 MB (4,855,747 bytes)"
"Rights of Light","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Rights of Light","31","65.92 MB (69,118,355 bytes)"
"Secured by Design","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Secured by Design","30","47.35 MB (49,649,248 bytes)"
"Southern Contractor Framework","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Southern Contractor Framework","16","22.62 MB (23,723,341 bytes)"
"Surveys","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Surveys","231","222.3 MB (233,048,776 bytes)"
"Town and Visual Impact","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Town and Visual Impact","1","931.6 KB (954,009 bytes)"
"Transport","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Transport","150","142.6 MB (149,511,896 bytes)"
"UXO","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants UXO","4","1.115 MB (1,169,094 bytes)"
"Viability Assessment","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Viability Assessment","1","63.75 KB (65,283 bytes)"
"Wind","Client E-H Client (H) Hackney Council Britannia Leisure Centre 04 Consultants Wind","11","14.38 MB (15,078,870 bytes)"
"05 Employers Requirements","Client E-H Client (H) Hackney Council Britannia Leisure Centre 05 Employers Requirements","0","0 B (0 bytes)"
"06 Contractor","Client E-H Client (H) Hackney Council Britannia Leisure Centre 06 Contractor","9","1.039 MB (1,089,801 bytes)"
"Frameworks","Client E-H Client (H) Hackney Council Britannia Leisure Centre 06 Contractor Frameworks","6","2.745 MB (2,878,793 bytes)"
"MC2 ","Client E-H Client (H) Hackney Council Britannia Leisure Centre 06 Contractor MC2 ","40","78.19 MB (81,989,409 bytes)"
"07 Appointment","Client E-H Client (H) Hackney Council Britannia Leisure Centre 07 Appointment","1415","1.115 GB (1,197,207,777 bytes)"
"08 Finances","Client E-H Client (H) Hackney Council Britannia Leisure Centre 08 Finances","17","4.472 MB (4,689,658 bytes)"
"Invoices Passed","Client E-H Client (H) Hackney Council Britannia Leisure Centre 08 Finances Invoices Passed","5","1.759 MB (1,844,535 bytes)"
"09 Meetings","Client E-H Client (H) Hackney Council Britannia Leisure Centre 09 Meetings","62","30.7 MB (32,187,164 bytes)"
"10 Stakeholders","Client E-H Client (H) Hackney Council Britannia Leisure Centre 10 Stakeholders","6","2.732 MB (2,864,580 bytes)"
"GLL","Client E-H Client (H) Hackney Council Britannia Leisure Centre 10 Stakeholders GLL","99","36.73 MB (38,510,693 bytes)"
"11 Contract Instructions","Client E-H Client (H) Hackney Council Britannia Leisure Centre 11 Contract Instructions","9","2.95 MB (3,093,333 bytes)"
"12 Design","Client E-H Client (H) Hackney Council Britannia Leisure Centre 12 Design","1460","1.651 GB (1,772,269,100 bytes)"
"13 Reports","Client E-H Client (H) Hackney Council Britannia Leisure Centre 13 Reports","50","97.1 MB (101,816,269 bytes)"
"Site Information","Client E-H Client (H) Hackney Council Britannia Leisure Centre 13 Reports Site Information","17","73.31 MB (76,874,558 bytes)"
"14 Photos","Client E-H Client (H) Hackney Council Britannia Leisure Centre 14 Photos","1","103.7 KB (106,144 bytes)"
"15 Programme","Client E-H Client (H) Hackney Council Britannia Leisure Centre 15 Programme","27","12.41 MB (13,008,297 bytes)"
"Hastings Borough Council","Client E-H Client (H) Hastings Borough Council","0","0 B (0 bytes)"
"Bohemia Development","Client E-H Client (H) Hastings Borough Council Bohemia Development","209","95.54 MB (100,177,587 bytes)"
"Horsham District Council","Client E-H Client (H) Horsham District Council","0","0 B (0 bytes)"
"Broadbridge Heath Leisure Centre","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre","0","0 B (0 bytes)"
"00 General Admin","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 00 General Admin","2","118.6 KB (121,467 bytes)"
"01 Client","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 01 Client","2808","861.7 MB (903,530,570 bytes)"
"02 Lawyers","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 02 Lawyers","102","50.45 MB (52,899,401 bytes)"
"03 Emails","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 03 Emails","4649","2.821 GB (3,028,711,992 bytes)"
"04 Consultants","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 04 Consultants","2777","1.733 GB (1,860,747,060 bytes)"
"05 Employers Requirements","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 05 Employers Requirements","1","193.9 KB (198,595 bytes)"
"06 Contractor","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 06 Contractor","1235","738.8 MB (774,656,269 bytes)"
"07 Appointment","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 07 Appointment","1","89.72 KB (91,878 bytes)"
"08 Finances","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 08 Finances","13","5.119 MB (5,367,610 bytes)"
"09 Meetings","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 09 Meetings","2","553.2 KB (566,490 bytes)"
"10 Stakeholders","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 10 Stakeholders","495","110.2 MB (115,555,587 bytes)"
"11 Contract Instructions","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 11 Contract Instructions","1","48.63 KB (49,798 bytes)"
"12 Design","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 12 Design","0","0 B (0 bytes)"
"13 Reports","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client E-H Client (H) Horsham District Council Broadbridge Heath Leisure Centre 14 Photos","0","0 B (0 bytes)"
"Client I-L","Client I-L","0","0 B (0 bytes)"
"Client (K)","Client I-L Client (K)","0","0 B (0 bytes)"
"Client (L)","Client I-L Client (L)","0","0 B (0 bytes)"
