"Name","FolderPath","ItemCount","TotalItemSize"
"London Borough of Hackney (See separate files)","Client I-L Client (L) London Borough of Hackney (See separate files)","0","0 B (0 bytes)"
"London Borough Tower Hamlets","Client I-L Client (L) London Borough Tower Hamlets","329","240.8 MB (252,512,435 bytes)"
"Estate Strategy Workshop","Client I-L Client (L) London Borough Tower Hamlets Estate Strategy Workshop","658","481.6 MB (505,025,790 bytes)"
"Operator Contract and Estate Strategy","Client I-L Client (L) London Borough Tower Hamlets Operator Contract and Estate Strategy","648","503.1 MB (527,515,423 bytes)"
"London Youth","Client I-L Client (L) London Youth","1","171.3 KB (175,411 bytes)"
"Hindleap Warren","Client I-L Client (L) London Youth Hindleap Warren","0","0 B (0 bytes)"
"00 General Admin","Client I-L Client (L) London Youth Hindleap Warren 00 General Admin","5","793 KB (811,995 bytes)"
"01 Client","Client I-L Client (L) London Youth Hindleap Warren 01 Client","149","48.88 MB (51,256,465 bytes)"
"02 Lawyers","Client I-L Client (L) London Youth Hindleap Warren 02 Lawyers","0","0 B (0 bytes)"
"03 Emails","Client I-L Client (L) London Youth Hindleap Warren 03 Emails","54","18.62 MB (19,521,539 bytes)"
"04 Consultants","Client I-L Client (L) London Youth Hindleap Warren 04 Consultants","27","7.445 MB (7,806,544 bytes)"
"05 Employer's Requirements","Client I-L Client (L) London Youth Hindleap Warren 05 Employer's Requirements","1","46.32 KB (47,427 bytes)"
"06 Contractor","Client I-L Client (L) London Youth Hindleap Warren 06 Contractor","42","17.3 MB (18,137,999 bytes)"
"07 Appointment","Client I-L Client (L) London Youth Hindleap Warren 07 Appointment","0","0 B (0 bytes)"
"08 Finances","Client I-L Client (L) London Youth Hindleap Warren 08 Finances","0","0 B (0 bytes)"
"09 Meetings","Client I-L Client (L) London Youth Hindleap Warren 09 Meetings","0","0 B (0 bytes)"
"10 Stakeholders","Client I-L Client (L) London Youth Hindleap Warren 10 Stakeholders","0","0 B (0 bytes)"
"11 Contract Instructions","Client I-L Client (L) London Youth Hindleap Warren 11 Contract Instructions","0","0 B (0 bytes)"
"12 Design","Client I-L Client (L) London Youth Hindleap Warren 12 Design","1","98.42 KB (100,784 bytes)"
"13 Reports","Client I-L Client (L) London Youth Hindleap Warren 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client I-L Client (L) London Youth Hindleap Warren 14 Photos","0","0 B (0 bytes)"
"Client I-L - London Borough of Hackney (Britannia)","Client I-L - London Borough of Hackney (Britannia)","0","0 B (0 bytes)"
"Britannia Leisure Centre","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre","1","2.192 MB (2,298,810 bytes)"
"Emails 1","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 1","683","691.4 MB (725,001,549 bytes)"
"Emails 2","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 2","47","29.69 MB (31,129,233 bytes)"
"Emails 3","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 3","18373","15 GB (16,107,316,050 bytes)"
"Emails 4","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 4","18339","15 GB (16,106,878,891 bytes)"
"Emails 5","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 5","2180","2.138 GB (2,295,864,256 bytes)"
"Emails 6","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 6","10023","11.86 GB (12,736,561,825 bytes)"
"Emails 7","Client I-L - London Borough of Hackney (Britannia) Britannia Leisure Centre Emails 7","586","847.4 MB (888,519,855 bytes)"
"Client I-L - London Borough of Hackney (KHLC)","Client I-L - London Borough of Hackney (KHLC)","0","0 B (0 bytes)"
"Kings Hall Cost Update, Survey Scoping, LUF","Client I-L - London Borough of Hackney (KHLC) Kings Hall Cost Update, Survey Scoping, LUF","124","138.8 MB (145,594,097 bytes)"
"Kings Hall Feasibility","Client I-L - London Borough of Hackney (KHLC) Kings Hall Feasibility","1554","1.321 GB (1,418,647,977 bytes)"
"Kings Hall ITT","Client I-L - London Borough of Hackney (KHLC) Kings Hall ITT","42","64.18 MB (67,292,726 bytes)"
"Kings Hall PM","Client I-L - London Borough of Hackney (KHLC) Kings Hall PM","0","0 B (0 bytes)"
"Email 1","Client I-L - London Borough of Hackney (KHLC) Kings Hall PM Email 1","3332","5.84 GB (6,270,672,660 bytes)"
"Email 2","Client I-L - London Borough of Hackney (KHLC) Kings Hall PM Email 2","4257","5.683 GB (6,102,292,710 bytes)"
"King's Hall Procurement Review","Client I-L - London Borough of Hackney (KHLC) King's Hall Procurement Review","70","36.34 MB (38,108,118 bytes)"
"Client I-L - London Borough of Hackney (Lido, West Res)","Client I-L - London Borough of Hackney (Lido, West Res)","0","0 B (0 bytes)"
"Lido Feasibility","Client I-L - London Borough of Hackney (Lido, West Res) Lido Feasibility","542","615.1 MB (645,021,627 bytes)"
"Lido PM","Client I-L - London Borough of Hackney (Lido, West Res) Lido PM","0","0 B (0 bytes)"
"Emails 0","Client I-L - London Borough of Hackney (Lido, West Res) Lido PM Emails 0","2420","3.886 GB (4,172,849,685 bytes)"
"Emails 1","Client I-L - London Borough of Hackney (Lido, West Res) Lido PM Emails 1","2698","4.623 GB (4,964,306,908 bytes)"
"Emails 2","Client I-L - London Borough of Hackney (Lido, West Res) Lido PM Emails 2","3295","4.772 GB (5,123,729,818 bytes)"
"West Reservoir","Client I-L - London Borough of Hackney (Lido, West Res) West Reservoir","155","183.5 MB (192,442,124 bytes)"
"Client I-L NEW","Client I-L NEW","0","0 B (0 bytes)"
"Client (I)","Client I-L NEW Client (I)","0","0 B (0 bytes)"
"Client (J)","Client I-L NEW Client (J)","0","0 B (0 bytes)"
"Client (K)","Client I-L NEW Client (K)","0","0 B (0 bytes)"
"Client M-P","Client M-P","0","0 B (0 bytes)"
"Client (M)","Client M-P Client (M)","0","0 B (0 bytes)"
"Medway District Council","Client M-P Client (M) Medway District Council","0","0 B (0 bytes)"
"Hoo and Medway leisure centres","Client M-P Client (M) Medway District Council Hoo and Medway leisure centres","0","0 B (0 bytes)"
"01 Client","Client M-P Client (M) Medway District Council Hoo and Medway leisure centres 01 Client","5","1.428 MB (1,497,647 bytes)"
"04 Consultants","Client M-P Client (M) Medway District Council Hoo and Medway leisure centres 04 Consultants","19","5.261 MB (5,516,164 bytes)"
"Medway Park Leisure Centre","Client M-P Client (M) Medway Park Leisure Centre","0","0 B (0 bytes)"
"01 Client","Client M-P Client (M) Medway Park Leisure Centre 01 Client","0","0 B (0 bytes)"
"04 Consultants","Client M-P Client (M) Medway Park Leisure Centre 04 Consultants","3","475.4 KB (486,778 bytes)"
"Mid-Sussex District Council (MSDC)","Client M-P Client (M) Mid-Sussex District Council (MSDC)","0","0 B (0 bytes)"
"Centre for Outdoor Sport (CfOS)","Client M-P Client (M) Mid-Sussex District Council (MSDC) Centre for Outdoor Sport (CfOS)","0","0 B (0 bytes)"
"Client (N)","Client M-P Client (N)","0","0 B (0 bytes)"
"Northampton Borough Council","Client M-P Client (N) Northampton Borough Council","0","0 B (0 bytes)"
"Weston Favell","Client M-P Client (N) Northampton Borough Council Weston Favell","4","919.3 KB (941,322 bytes)"
"Northland Controls - Northland House","Client M-P Client (N) Northland Controls - Northland House","0","0 B (0 bytes)"
"00 General Admin","Client M-P Client (N) Northland Controls - Northland House 00 General Admin","2","130.3 KB (133,430 bytes)"
"01 Client","Client M-P Client (N) Northland Controls - Northland House 01 Client","1496","645.1 MB (676,407,149 bytes)"
"02 Lawyers","Client M-P Client (N) Northland Controls - Northland House 02 Lawyers","11","1.687 MB (1,769,368 bytes)"
"03 Emails","Client M-P Client (N) Northland Controls - Northland House 03 Emails","1430","607.1 MB (636,611,214 bytes)"
"04 Consultants","Client M-P Client (N) Northland Controls - Northland House 04 Consultants","1106","716.2 MB (750,966,522 bytes)"
"05 Employer's Requirements","Client M-P Client (N) Northland Controls - Northland House 05 Employer's Requirements","0","0 B (0 bytes)"
"06 Contractor","Client M-P Client (N) Northland Controls - Northland House 06 Contractor","1256","954.1 MB (1,000,403,375 bytes)"
"07 Appointment","Client M-P Client (N) Northland Controls - Northland House 07 Appointment","5","2.608 MB (2,734,458 bytes)"
"08 Finances","Client M-P Client (N) Northland Controls - Northland House 08 Finances","4","866 KB (886,741 bytes)"
"09 Meetings","Client M-P Client (N) Northland Controls - Northland House 09 Meetings","0","0 B (0 bytes)"
"10 Stakeholders","Client M-P Client (N) Northland Controls - Northland House 10 Stakeholders","2","155.2 KB (158,900 bytes)"
"11 Contract Instructions","Client M-P Client (N) Northland Controls - Northland House 11 Contract Instructions","1","88.75 KB (90,879 bytes)"
"12 Design","Client M-P Client (N) Northland Controls - Northland House 12 Design","0","0 B (0 bytes)"
"13 Reports","Client M-P Client (N) Northland Controls - Northland House 13 Reports","0","0 B (0 bytes)"
"14 Photos","Client M-P Client (N) Northland Controls - Northland House 14 Photos","0","0 B (0 bytes)"
"15 Programme","Client M-P Client (N) Northland Controls - Northland House 15 Programme","0","0 B (0 bytes)"
"Nuneaton and Bedworth BC","Client M-P Client (N) Nuneaton and Bedworth BC","1","1.947 MB (2,041,249 bytes)"
"Bedworth Physical Activity Hub","Client M-P Client (N) Nuneaton and Bedworth BC Bedworth Physical Activity Hub","0","0 B (0 bytes)"
"Pingles","Client M-P Client (N) Nuneaton and Bedworth BC Pingles","0","0 B (0 bytes)"
"Top Farm","Client M-P Client (N) Nuneaton and Bedworth BC Top Farm","0","0 B (0 bytes)"
"Client (O)","Client M-P Client (O)","0","0 B (0 bytes)"
"Osborne SCF Peer Review","Client M-P Client (O) Osborne SCF Peer Review","104","70.1 MB (73,501,495 bytes)"
"Oxford Brookes University (Sports Facility Strategy)","Client M-P Client (O) Oxford Brookes University (Sports Facility Strategy)","987","665.3 MB (697,598,718 bytes)"
"Oxford Brookes University (Sports Strategy)","Client M-P Client (O) Oxford Brookes University (Sports Strategy)","115","68.39 MB (71,711,813 bytes)"
"Client Q-T","Client Q-T","0","0 B (0 bytes)"
"Client (R)","Client Q-T Client (R)","0","0 B (0 bytes)"
"REM","Client Q-T Client (R) REM","0","0 B (0 bytes)"
"Project Kookaburra","Client Q-T Client (R) REM Project Kookaburra","882","1.478 GB (1,586,967,790 bytes)"
"Project Sesame 2","Client Q-T Client (R) REM Project Sesame 2","14","40.08 MB (42,027,788 bytes)"
"Royal Borough of Greenwich","Client Q-T Client (R) Royal Borough of Greenwich","1","91.49 KB (93,685 bytes)"
"Woolwich Leisure Centre Email Folder 1","Client Q-T Client (R) Royal Borough of Greenwich Woolwich Leisure Centre Email Folder 1","23305","15 GB (16,106,347,710 bytes)"
"Woolwich Leisure Centre Email Folder 2","Client Q-T Client (R) Royal Borough of Greenwich Woolwich Leisure Centre Email Folder 2","12674","15 GB (16,108,892,509 bytes)"
"Woolwich Leisure Centre Email Folder 3","Client Q-T Client (R) Royal Borough of Greenwich Woolwich Leisure Centre Email Folder 3","256","371.6 MB (389,618,307 bytes)"
"Woolwich Leisure Centre Email Folder 4","Client Q-T Client (R) Royal Borough of Greenwich Woolwich Leisure Centre Email Folder 4","12671","15 GB (16,106,306,172 bytes)"
"Woolwich Leisure Centre Email Folder 5","Client Q-T Client (R) Royal Borough of Greenwich Woolwich Leisure Centre Email Folder 5","5100","5.948 GB (6,387,059,619 bytes)"
"Royal Borough of Kingston Upon Thames","Client Q-T Client (R) Royal Borough of Kingston Upon Thames","0","0 B (0 bytes)"
"Cocks Crescent","Client Q-T Client (R) Royal Borough of Kingston Upon Thames Cocks Crescent","164","235.4 MB (246,850,795 bytes)"
"Kingfisher","Client Q-T Client (R) Royal Borough of Kingston Upon Thames Kingfisher","112","67.38 MB (70,651,125 bytes)"
"Client (S)","Client Q-T Client (S)","0","0 B (0 bytes)"
"Spelthorne Borough Council","Client Q-T Client (S) Spelthorne Borough Council","0","0 B (0 bytes)"
"Spelthorne Leisure Centre","Client Q-T Client (S) Spelthorne Borough Council Spelthorne Leisure Centre","118","30.63 MB (32,115,439 bytes)"
"St Albans City & District Council","Client Q-T Client (S) St Albans City & District Council","0","0 B (0 bytes)"
"Harpeden","Client Q-T Client (S) St Albans City & District Council Harpeden","160","70.44 MB (73,858,427 bytes)"
"Client (T)","Client Q-T Client (T)","0","0 B (0 bytes)"
"Teighmore","Client Q-T Client (T) Teighmore","0","0 B (0 bytes)"
"The Sports Consultancy","Client Q-T Client (T) The Sports Consultancy","0","0 B (0 bytes)"
"Aylesbury Sports Hub Feasibility","Client Q-T Client (T) The Sports Consultancy Aylesbury Sports Hub Feasibility","0","0 B (0 bytes)"
"Basildon Borough Council - Billericay Feasibility","Client Q-T Client (T) The Sports Consultancy Basildon Borough Council - Billericay Feasibility","29","37.09 MB (38,889,079 bytes)"
"Spelthorne Borough Council","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council","0","0 B (0 bytes)"
"Spelthorne Leisure Centre, Feasibility","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility","0","0 B (0 bytes)"
"01 Client","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 01 Client","21","2.857 MB (2,995,650 bytes)"
"03. Email","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 03. Email","43","24.63 MB (25,828,052 bytes)"
"04. Consultants","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 04. Consultants","5","412.5 KB (422,425 bytes)"
"Business Planning - TSC","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 04. Consultants Business Planning - TSC","91","52.26 MB (54,802,655 bytes)"
"07. Appointment","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 07. Appointment","1","547.2 KB (560,288 bytes)"
"Feasibility","Client Q-T Client (T) The Sports Consultancy Spelthorne Borough Council Spelthorne Leisure Centre, Feasibility 07. Appointment Feasibility","4","1.243 MB (1,303,030 bytes)"
"Client Q-T - Royal Borough Greenwich (WPR)","Client Q-T - Royal Borough Greenwich (WPR)","0","0 B (0 bytes)"
"Woolwich Public Realm","Client Q-T - Royal Borough Greenwich (WPR) Woolwich Public Realm","0","0 B (0 bytes)"
"Email 1","Client Q-T - Royal Borough Greenwich (WPR) Woolwich Public Realm Email 1","11959","15.01 GB (16,121,024,161 bytes)"
"Email 2","Client Q-T - Royal Borough Greenwich (WPR) Woolwich Public Realm Email 2","8564","13.44 GB (14,429,124,526 bytes)"
"Client U-Z","Client U-Z","1","132.7 KB (135,861 bytes)"
"Client (U)","Client U-Z Client (U)","2","174.7 KB (178,940 bytes)"
"University of Aberdeen","Client U-Z Client (U) University of Aberdeen","0","0 B (0 bytes)"
"CCS Procurement","Client U-Z Client (U) University of Aberdeen CCS Procurement","428","187.7 MB (196,826,535 bytes)"
"University of Warwick","Client U-Z Client (U) University of Warwick","39","10.15 MB (10,643,021 bytes)"
"00 General Admin","Client U-Z Client (U) University of Warwick 00 General Admin","8","782.9 KB (801,732 bytes)"
"01 Client","Client U-Z Client (U) University of Warwick 01 Client","5422","3.557 GB (3,819,193,319 bytes)"
"02 Lawyers","Client U-Z Client (U) University of Warwick 02 Lawyers","83","71.18 MB (74,638,696 bytes)"
"03-1 Emails","Client U-Z Client (U) University of Warwick 03-1 Emails","4307","2.883 GB (3,095,458,207 bytes)"
"03-2 Emails","Client U-Z Client (U) University of Warwick 03-2 Emails","134","126.9 MB (133,089,333 bytes)"
"04 Consultants","Client U-Z Client (U) University of Warwick 04 Consultants","0","0 B (0 bytes)"
"Acoustics","Client U-Z Client (U) University of Warwick 04 Consultants Acoustics","164","228.5 MB (239,643,625 bytes)"
"Activity Zone","Client U-Z Client (U) University of Warwick 04 Consultants Activity Zone","536","581.8 MB (610,009,910 bytes)"
"Air Tightness","Client U-Z Client (U) University of Warwick 04 Consultants Air Tightness","35","12.56 MB (13,175,058 bytes)"
"Archaeology","Client U-Z Client (U) University of Warwick 04 Consultants Archaeology","0","0 B (0 bytes)"
"Architect","Client U-Z Client (U) University of Warwick 04 Consultants Architect","2517","1.818 GB (1,952,166,204 bytes)"
"BREEAM","Client U-Z Client (U) University of Warwick 04 Consultants BREEAM","307","118.5 MB (124,271,433 bytes)"
"Building Control","Client U-Z Client (U) University of Warwick 04 Consultants Building Control","39","9.369 MB (9,823,639 bytes)"
"Business plan","Client U-Z Client (U) University of Warwick 04 Consultants Business plan","73","64.73 MB (67,872,876 bytes)"
"Carbon Profiling","Client U-Z Client (U) University of Warwick 04 Consultants Carbon Profiling","253","59.05 MB (61,923,415 bytes)"
"Client Design Advisor","Client U-Z Client (U) University of Warwick 04 Consultants Client Design Advisor","29","5.73 MB (6,008,735 bytes)"
"Climbing","Client U-Z Client (U) University of Warwick 04 Consultants Climbing","510","209.5 MB (219,708,516 bytes)"
"Comms","Client U-Z Client (U) University of Warwick 04 Consultants Comms","263","160.9 MB (168,760,593 bytes)"
"Construction Advisor","Client U-Z Client (U) University of Warwick 04 Consultants Construction Advisor","2","1.398 MB (1,465,898 bytes)"
"Cost","Client U-Z Client (U) University of Warwick 04 Consultants Cost","2087","616.3 MB (646,231,170 bytes)"
"Appointment","Client U-Z Client (U) University of Warwick 04 Consultants Cost Appointment","207","77.09 MB (80,837,179 bytes)"
"Ecologist","Client U-Z Client (U) University of Warwick 04 Consultants Ecologist","0","0 B (0 bytes)"
"Ecology","Client U-Z Client (U) University of Warwick 04 Consultants Ecology","981","743.3 MB (779,426,733 bytes)"
"Economic Impact Assessment","Client U-Z Client (U) University of Warwick 04 Consultants Economic Impact Assessment","17","4.11 MB (4,309,136 bytes)"
"Engineer","Client U-Z Client (U) University of Warwick 04 Consultants Engineer","1853","881.8 MB (924,667,532 bytes)"
"Farmer","Client U-Z Client (U) University of Warwick 04 Consultants Farmer","15","1.959 MB (2,054,346 bytes)"
"Fire","Client U-Z Client (U) University of Warwick 04 Consultants Fire","40","33.11 MB (34,713,861 bytes)"
"FRA","Client U-Z Client (U) University of Warwick 04 Consultants FRA","18","4.248 MB (4,453,978 bytes)"
"Ground Investigations","Client U-Z Client (U) University of Warwick 04 Consultants Ground Investigations","168","153.3 MB (160,723,303 bytes)"
"Heritage","Client U-Z Client (U) University of Warwick 04 Consultants Heritage","204","170.2 MB (178,461,838 bytes)"
"Landscape","Client U-Z Client (U) University of Warwick 04 Consultants Landscape","619","652.9 MB (684,575,517 bytes)"
"Life Cycle Costs","Client U-Z Client (U) University of Warwick 04 Consultants Life Cycle Costs","88","32.43 MB (34,005,144 bytes)"
"Lighting","Client U-Z Client (U) University of Warwick 04 Consultants Lighting","0","0 B (0 bytes)"
"Lighting Specialist","Client U-Z Client (U) University of Warwick 04 Consultants Lighting Specialist","19","13.21 MB (13,847,075 bytes)"
"LVIA","Client U-Z Client (U) University of Warwick 04 Consultants LVIA","39","54.38 MB (57,024,525 bytes)"
"Peer Review","Client U-Z Client (U) University of Warwick 04 Consultants Peer Review","12","27.08 MB (28,399,328 bytes)"
"Pitch","Client U-Z Client (U) University of Warwick 04 Consultants Pitch","1039","640.1 MB (671,159,922 bytes)"
"Planning","Client U-Z Client (U) University of Warwick 04 Consultants Planning","1921","913.3 MB (957,633,218 bytes)"
"Pool","Client U-Z Client (U) University of Warwick 04 Consultants Pool","190","124.4 MB (130,402,713 bytes)"
"Principal Design (CDM)","Client U-Z Client (U) University of Warwick 04 Consultants Principal Design (CDM)","127","35.95 MB (37,697,964 bytes)"
"Road","Client U-Z Client (U) University of Warwick 04 Consultants Road","20","120.2 MB (126,031,583 bytes)"
"Soft Landings","Client U-Z Client (U) University of Warwick 04 Consultants Soft Landings","7","2.934 MB (3,076,320 bytes)"
"Sustainability","Client U-Z Client (U) University of Warwick 04 Consultants Sustainability","5","5.037 MB (5,282,038 bytes)"
"Technogym","Client U-Z Client (U) University of Warwick 04 Consultants Technogym","18","80.35 MB (84,251,390 bytes)"
"Topo","Client U-Z Client (U) University of Warwick 04 Consultants Topo","47","30.47 MB (31,945,477 bytes)"
"Transport","Client U-Z Client (U) University of Warwick 04 Consultants Transport","224","51.99 MB (54,518,259 bytes)"
"Utilities","Client U-Z Client (U) University of Warwick 04 Consultants Utilities","48","45.24 MB (47,434,591 bytes)"
"UXO","Client U-Z Client (U) University of Warwick 04 Consultants UXO","13","8.439 MB (8,848,674 bytes)"
"05 Employers Requirements","Client U-Z Client (U) University of Warwick 05 Employers Requirements","0","0 B (0 bytes)"
"06 Contractor","Client U-Z Client (U) University of Warwick 06 Contractor","57","75.64 MB (79,315,832 bytes)"
"DBS","Client U-Z Client (U) University of Warwick 06 Contractor DBS","276","298.9 MB (313,469,919 bytes)"
"Timing Equipment","Client U-Z Client (U) University of Warwick 06 Contractor Timing Equipment","53","71.17 MB (74,630,619 bytes)"
"Wilmott Dixon","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon","3026","2.004 GB (2,152,034,520 bytes)"
"4Projects and Sypro Notifications","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon 4Projects and Sypro Notifications","0","0 B (0 bytes)"
"Acceptances","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon Acceptances","0","0 B (0 bytes)"
"Compensation Events","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon Compensation Events","0","0 B (0 bytes)"
"Designer Appointments","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon Designer Appointments","0","0 B (0 bytes)"
"EWNs","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon EWNs","0","0 B (0 bytes)"
"PCSA Variations","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon PCSA Variations","0","0 B (0 bytes)"
"Valuations","Client U-Z Client (U) University of Warwick 06 Contractor Wilmott Dixon Valuations","0","0 B (0 bytes)"
"07 Appointment","Client U-Z Client (U) University of Warwick 07 Appointment","63","22.39 MB (23,476,521 bytes)"
"08 Finances","Client U-Z Client (U) University of Warwick 08 Finances","12","13.04 MB (13,671,156 bytes)"
"Invoices in tracker","Client U-Z Client (U) University of Warwick 08 Finances Invoices in tracker","89","55.99 MB (58,709,173 bytes)"
"09 Meeting","Client U-Z Client (U) University of Warwick 09 Meeting","233","230.3 MB (241,537,329 bytes)"
"10 Stakeholders","Client U-Z Client (U) University of Warwick 10 Stakeholders","1","57.61 KB (58,995 bytes)"
"11 Contract Instruction","Client U-Z Client (U) University of Warwick 11 Contract Instruction","58","47.26 MB (49,558,509 bytes)"
"12 Design","Client U-Z Client (U) University of Warwick 12 Design","2101","2.055 GB (2,206,035,286 bytes)"
"Drawing comments & RFIs","Client U-Z Client (U) University of Warwick 12 Design Drawing comments & RFIs","320","242.6 MB (254,357,672 bytes)"
"13 Report","Client U-Z Client (U) University of Warwick 13 Report","102","167.9 MB (176,097,276 bytes)"
"Clerk of Works Report","Client U-Z Client (U) University of Warwick 13 Report Clerk of Works Report","10","13.14 MB (13,782,719 bytes)"
"Site Surveys and Reports","Client U-Z Client (U) University of Warwick 13 Report Site Surveys and Reports","18","48.49 MB (50,850,579 bytes)"
"14 Photos","Client U-Z Client (U) University of Warwick 14 Photos","2","8.511 MB (8,924,494 bytes)"
"15 Programme","Client U-Z Client (U) University of Warwick 15 Programme","162","71.2 MB (74,661,188 bytes)"
"Client (V)","Client U-Z Client (V)","0","0 B (0 bytes)"
"Vesda","Client U-Z Client (V) Vesda","150","45.41 MB (47,620,570 bytes)"
"Project Inca","Client U-Z Client (V) Vesda Project Inca","4094","2.049 GB (2,200,003,639 bytes)"
"Client (W)","Client U-Z Client (W)","0","0 B (0 bytes)"
"West Lancs Borough Council","Client U-Z Client (W) West Lancs Borough Council","63","59.94 MB (62,850,706 bytes)"
"Skelmersdale and Ormskirk Leisure Centres","Client U-Z Client (W) West Lancs Borough Council Skelmersdale and Ormskirk Leisure Centres","2354","2.23 GB (2,394,936,709 bytes)"
"West Northamptonshire Council","Client U-Z Client (W) West Northamptonshire Council","8","1.371 MB (1,437,147 bytes)"
"Westminster City Council","Client U-Z Client (W) Westminster City Council","0","0 B (0 bytes)"
"Seymour Leisure Centre","Client U-Z Client (W) Westminster City Council Seymour Leisure Centre","4323","5.275 GB (5,664,328,430 bytes)"
"Email 1","Client U-Z Client (W) Westminster City Council Seymour Leisure Centre Email 1","13599","14.96 GB (16,063,990,999 bytes)"
"Email 2","Client U-Z Client (W) Westminster City Council Seymour Leisure Centre Email 2","759","959.1 MB (1,005,651,744 bytes)"
"Client (Z)","Client U-Z Client (Z)","0","0 B (0 bytes)"
"Zendesk","Client U-Z Client (Z) Zendesk","3880","1.513 GB (1,625,020,431 bytes)"
"Team Folder","Team Folder","7","37.7 MB (39,529,879 bytes)"
"APC","Team Folder APC","23","88.49 MB (92,786,976 bytes)"
